org_name,city,state,zip,npi,clia,license_id,lab_type,engine_score,money_score,pain_score,fit_score,tier,rule_score,priority,signals
PATERNITY DNA CONSULTANTS,LAWRENCEVILLE,GA,300438538,1437967312,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: GA
"PCG MOLECULAR, LLC",ATLANTA,GA,303284277,1538625868,,,"Pathology, Anatomic Pathology & Clinical Pathology",3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: GA
PGX PARTNERS,BUFORD,GA,305188787,1457764565,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: pgx;Name signal (+): pgx;Priority market: GA
AMERICAN MOLECULAR LABORATORIES INC,VERNON HILLS,IL,600611590,1982142402,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL
"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",BROADVIEW,IL,601553869,1134808033,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL
"CENTER FOR MOLECULAR CANCER DIAGNOSTICS, INC",MENTOR,OH,440604806,1316378789,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: OH
ACIES MOLECULAR LAB LLC,NEW ALBANY,IN,47150,1518600758,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IN
MOBILE DNA DIRECT LLC,INDIANAPOLIS,IN,462681799,1962292276,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: IN
MOLECULAR LAB ASSOCIATES ILLINOIS,SPRINGFIELD,IL,627047433,1841999430,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: IL
RESOLVE MOLECULAR DIAGNOSTICS LLC,METAIRIE,LA,700066626,1336814870,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: LA
"SPECIALTY DRUG TESTING, LLC",MONROE,LA,712032804,1639577091,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: drug testing;Name signal (+): specialty;Priority market: LA
COSMOSID NGS LABORATORY SERVICES,ROCKVILLE,MD,208501496,1265097745,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: ngs;Name signal (+): ngs;Priority market: MD
FPCA MOLECULAR LABS LLC,FREDERICK,MD,217038624,1245085430,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MD
INTEGRATED CELLULAR AND MOLECULAR DIAGNOSTICS LLC,GREENBELT,MD,207706323,1851707186,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular diagnostics;Name signal (+): molecular;Priority market: MD
"PRECISION TOXICOLOGY, LLC",DARTMOUTH,MA,027473303,1043737505,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): precision;Priority market: MA
ARES NGS LLC,HOLLAND,MI,494246518,1144876277,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: ngs;Name signal (+): ngs;Priority market: MI
FIRST CHOICE DNA,SOUTHFIELD,MI,480752865,1295428274,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: MI
MOLECULAR MEDICAL INC,DAVISBURG,MI,483501946,1588041511,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MI
PRECISION DNA SOLUTIONS,CLARKSTON,MI,483462270,1710271002,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: dna;Name signal (+): dna;Priority market: MI
"PRECISION TOXICOLOGY, LLC",MARQUETTE,MI,498553196,1871907915,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): precision;Priority market: MI
"PRIME TOXICOLOGY, LLC",SOUTHFIELD,MI,480341659,1104365626,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): prime;Priority market: MI
SEQUENOM CENTER FOR MOLECULAR MEDICINE LLC,GRAND RAPIDS,MI,495033314,1528205028,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: MI
MOLECULAR AND DIAGNOSTIC TESTING LABS OF AMERICA,DALLAS,TX,752262017,1013673243,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: molecular;Name signal (+): molecular;Priority market: TX
CORE TOXICOLOGY LLC,CREVE COEUR,MO,631417129,1538527601,,,Clinical Medical Laboratory,3,0,0,3,A,82,High,Tier A lab type: toxicology;Name signal (+): core;Priority market: MO
