Company Name,City,State,Zip,NPI,CLIA,License ID,Money Score,Pain Score,Fit Score,Total Score,Target Roles
"ST FRANCIS HOSPITAL, INC.",GREENVILLE,SC,296013955,1972127017,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GULF HEALTH HOSPITALS, INC.",BAY MINETTE,AL,365074110,1760092449,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GULF HEALTH HOSPITALS, INC",FAIRHOPE,AL,365321812,1952911638,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ALLEY MEDICAL CENTER LAB,BERWICK,PA,186033603,1649390162,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
COMMUNITY MEMORIAL HOSPITAL,SOUTH HILL,VA,239704080,1265226120,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EVANGELICAL COMMUNITY HOSPITAL,LEWISBURG,PA,178379350,1386433076,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
EPHRATA COMMUNITY HOSPITAL,EPHRATA,PA,175221724,1114681236,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
KENSINGTON HOSPITAL,PHILADELPHIA,PA,191221721,1285783852,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"THE GOOD SAMARITAN HOSPITAL OF LEBANON, PENNSYLVANIA",LEBANON,PA,170426111,1558025676,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE GETTYSBURG HOSPITAL,GETTYSBURG,PA,173252534,1013673557,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE CHAMBERSBURG HOSPITAL,CHAMBERSBURG,PA,172011720,1164186276,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
RHODE ISLAND MEDICAL CENTER LLC,EAST GREENWICH,RI,028183888,1881061919,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
KENT COUNTY MEMORIAL HOSPITAL,WARWICK,RI,028862759,1922621614,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
WOMEN & INFANTS HOSPITAL OF RI,PROVIDENCE,RI,029052401,1487771861,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
GRADY MEMORIAL HOSPITAL,CHICKASHA,OK,730182736,1669558789,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
NORMAN REGIONAL HOSPITAL AUTHORITY,NORMAN,OK,730716482,1891302279,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SUMMIT MEDICAL CENTER LABORATORY,EDMOND,OK,730133023,1730900747,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SOUTHERN PLAINS MEDICAL CENTER INC,ANADARKO,OK,730054406,1235209453,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SOUTHERN PLAINS MEDICAL CENTER INC,CHICKASHA,OK,730182738,1326118548,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
VA MEDICAL CENTER-PATH AND LAB MED SERVICE,OKLAHOMA CITY,OK,731045007,1528246899,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
COMANCHE COUNTY HOSPITAL AUTHORITY,LAWTON,OK,735056332,1568707248,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LEGACY EMANUEL HOSPITAL & HEALTH CENTER,PORTLAND,OR,972322003,1295756898,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
NORTH BEND MEDICAL CENTER INC,COOS BAY,OR,974200000,1760404396,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"PHYSICIANS MEDICAL CENTER, P C",MCMINNVILLE,OR,971288862,1821035841,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
UMPQUA REGIONAL MEDICAL CENTER DIAGNOSTICS,SUTHERLIN,OR,974799812,1124353289,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
VETERANS ADMINISTRATION HOSPITAL,PORTLAND,OR,97207,1942412739,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BOOKER HOSPITAL DISTRICT,BOOKER,TX,790056030,1598274359,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MERCY HEALTH REGIONAL MEDICAL CENTER LLC,LORAIN,OH,440531611,1083163729,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MERCY HEALTH - WEST HOSPITAL LLC,CINCINNATI,OH,452111103,1982728036,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MOUNT CARMEL HEALTH SYSTEM,COLUMBUS,OH,432221551,1295136125,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
OHIOHEALTH BERGER HOSPITAL LLC,CIRCLEVILLE,OH,431131447,1255069829,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SALEM COMMUNITY HOSPITAL,CALCUTTA,OH,439209625,1063357481,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SHELTERING ARMS HOSPITAL FOUNDATION,ATHENS,OH,457012302,1700297926,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SUMMA HEALTH SYSTEM,BARBERTON,OH,442033332,1609263706,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SUMMA BARBERTON CITIZENS HOSPITAL,BARBERTON,OH,442033332,1134306483,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ST. LUKES HOSPITAL,MAUMEE,OH,435371841,1922348986,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE VAN WERT COUNTY HOSPITAL ASSOCIATION,VAN WERT,OH,458912551,1013509678,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE TOLEDO HOSPITAL,TOLEDO,OH,436063895,1760630354,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE OHIO STATE UNIVERSITY MEDICAL CENTER,COLUMBUS,OH,432024500,1831389550,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE OHIO STATE UNIVERSITY HOSPITAL,COLUMBUS,OH,432101240,1780997213,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
TOLEDO HOSPITAL,TOLEDO,OH,436063895,1972754232,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ACCESS HOSPITAL DAYTON LAB LLC,DAYTON,OH,454201833,1780240788,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
AKRON GENERAL MEDICAL CENTER,AKRON,OH,443072432,1518206085,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BARBERTON HEALTH SYSTEM LLC,BARBERTON,OH,442033332,1922051226,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BON SECOURS ST MARY'S HOSPITAL OF RICHMOND LLC,RICHMOND,VA,232261907,1588129480,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BETHESDA HOSPITAL INC,CINCINNATI,OH,45242,1720048143,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"CANYON MEDICAL CENTER, INC.",COLUMBUS,OH,432131546,1154514123,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CLEVELAND CLINIC MERCY HOSPITAL,CANTON,OH,447082614,1326282807,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"DEFIANCE HOSPITAL, INC.",DEFIANCE,OH,435121396,1740520147,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DAYTON CHILDREN'S HOSPITAL,DAYTON,OH,454041873,1407377500,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FOSTORIA HOSPITAL ASSOCIATION,FOSTORIA,OH,448301534,1568702967,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LODI COMMUNITY HOSPITAL,LODI,OH,442541031,1164761631,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MEDCENTRAL HEALTH SYSTEM,MANSFIELD,OH,449032269,1962888016,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"MARION GENERAL HOSPITAL, INC.",MARION,OH,433026399,1427494277,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MADISON COUNTY COMMUNITY HOSPITAL,LONDON,OH,431401115,1013362623,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MERCY HEALTH-REGIONAL MEDICAL CENTER LLC,LORAIN,OH,440531611,1164971800,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DOOR COUNTY MEMORIAL HOSPITAL,STURGEON BAY,WI,542351401,1811090285,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"BELLIN MEMORIAL HOSPITAL, INC.",GREEN BAY,WI,543013505,1891937256,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"AURORA MEDICAL CENTER BAY AREA, INC",MARINETTE,WI,541434110,1083791115,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC.",MEDFORD,WI,544511622,1194889535,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"WHEELING HOSPITAL, INC.",WHEELING,WV,260036392,1518011691,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
WHEELING HOSPITAL INC,WHEELING,WV,260036390,1619016151,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
PALISADES MEDICAL CENTER,NORTH BERGEN,NJ,070476217,1700014990,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"BAYHEALTH MEDICAL CENTER, INC.",MILFORD,DE,199634364,1730646688,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"BAYHEALTH MEDICAL CENTER, INC",DOVER,DE,199013530,1609333590,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DLP WILSON MEDICAL CENTER LLC,WILSON,NC,278933437,1467036848,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"DLP SWAIN COUNTY HOSPITAL, LLC",BRYSON CITY,NC,287134200,1528649266,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DLP RUTHERFORD REGIONAL HEALTH SYSTEM LLC,RUTHERFORDTON,NC,281392838,1164003836,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DLP PERSON MEMORIAL HOSPITAL LLC,ROXBORO,NC,275734629,1710561113,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DLP MARIA PARHAM MEDICAL CENTER LLC,HENDERSON,NC,275362927,1275114928,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DLP HAYWOOD REGIONAL MEDICAL CENTER LLC,CLYDE,NC,287217430,1821672296,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DLP HARRIS REGIONAL HOSPITAL LLC,SYLVA,NC,287792722,1992389399,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"GASTON MEMORIAL HOSPITAL, INCORPORATED",GASTONIA,NC,280542140,1568974665,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HAYWOOD REGIONAL MEDICAL CENTER,CLYDE,NC,287217430,1710311451,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HIGHLANDS-CASHIERS HOSPITAL,HIGHLANDS,NC,287417600,1174964886,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SANFORD MEDICAL CENTER FARGO,FARGO,ND,581220045,1164652640,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"ADCARE HEALTH SYSTEMS, INC.",SIDNEY,OH,453653203,1912167644,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"ADCARE HEALTH SYSTEMS, INC.",GREENFIELD,OH,451231429,1306006028,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ADCARE HEALTH SYSTEMS INC,COVINGTON,OH,453181245,1437310208,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CABRINI MEDICAL CENTER,NEW YORK,NY,100032602,1851302897,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE BROOKLYN HOSPITAL CENTER,BROOKLYN,NY,112015425,1295863439,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BRONXCARE HEALTH SYSTEM,BRONX,NY,10456,1871999359,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BETH ISRAEL MEDICAL CENTER,NEW YORK,NY,100033851,1346256674,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
LUTHERAN MEDICAL CENTER,BROOKLYN,NY,112202559,1801991914,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BETHANY MEDICAL CENTER PA,KERNERSVILLE,NC,272843335,1134631591,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BETHANY MEDICAL CENTER,WINSTON SALEM,NC,271014101,1467829663,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BON SECOURS ST. FRANCIS HOSPITAL,CHARLESTON,SC,294145733,1124472675,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CHEROKEE INDIAN HOSPITAL AUTHORITY,CHEROKEE,NC,287199253,1649373911,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"CHARLES A. CANNON, JR. MEMORIAL HOSPITAL, INC.",LINVILLE,NC,286460787,1437541984,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,282035812,1811005150,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CUMBERLAND COUNTY HEALTH SYSTEM INC,FAYETTEVILLE,NC,283043424,1356889950,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DUKE UNIVERSITY HEALTH SYSTEM INC,RALEIGH,NC,276097317,1306828108,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
DUKE UNIVERSITY HEALTH SYSTEM INC,DURHAM,NC,277100001,1508847047,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,146213001,1518400688,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ST JAMES HOSPITAL,HORNELL,NY,148439691,1518540426,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
SOUND SHORE MEDICAL CENTER DEPARTMENT OF LABORATORIES,NEW ROCHELLE,NY,10802,1205857984,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
"THE MEMORIAL HOSPITAL OF WILLIAM F. AND GERTRUDE F. JONES, INC.",WELLSVILLE,NY,148951150,1316521776,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE FREDERICK FERRIS THOMPSON HOSPITAL,CANANDAIGUA,NY,144241731,1245811504,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE BROOKDALE HOSPITAL MEDICAL CENTER,BROOKLYN,NY,112123139,1477546026,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
THE UNITY HOSPITAL OF ROCHESTER,ROCHESTER,NY,14626,1164925012,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,126013947,1780052514,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
UNIVERSITY OF ROCHESTER MEDICAL CENTER,ROCHESTER,NY,146420001,1245406651,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
UNITY HEALTH SYSTEM,ROCHESTER,NY,146241359,1366835886,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
WYCKOFF HEIGHTS MEDICAL CENTER LABORATORY SERVICES,BROOKLYN,NY,112374006,1972110096,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
FPA HOSPITAL BASED,NEW YORK,NY,100296508,1841531795,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
ALBANY MEDICAL CENTER HOSPITAL,ALBANY,NY,122061098,1700204641,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BETH ISREAL MEDICAL CENTER,NEW YORK,NY,100033851,1689794109,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
BETH ISRAEL MEDICAL CENTER,SUITE 12S34,NY,100033851,1699798934,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
PROVIDENCE HOSPITAL,MOBILE,AL,366086705,1043804628,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
CLAXTON-HEPBURN MEDICAL CENTER,OGDENSBURG,NY,136691142,1457082000,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
HIGHLAND HOSPITAL,ROCHESTER,NY,146202733,1073187993,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MAIMONIDES MEDICAL CENTER,BROOKLYN,NY,112042567,1922347673,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MONTEFIORE MEDICAL CENTER,BRONX,NY,104672401,1083975940,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MONTEFIORE MEDICAL CENTER,HARTSDALE,NY,105302319,1164699070,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
NEW YORK METHODIST HOSPITAL,BROOKLYN,NY,112153609,1508015785,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
MOUNT SINAI HOSPITAL,NEW YORK,NY,100296574,1033206362,,,0,0,5,5,Lab Director; Billing Manager; RCM Director; Compliance Officer; COO; CEO; Credentialing Specialist
